Date,spx,spx_ret,spx_vol
1994-01-06,467.1199951171875,,
1994-01-07,469.8999938964844,0.5951358983465216,0.5951358983465216
1994-01-10,475.2699890136719,1.1427953153730908,1.1427953153730908
1994-01-11,474.1300048828125,-0.23986032301874796,0.23986032301874796
1994-01-12,474.1700134277344,0.008438306901026316,0.008438306901026316
1994-01-13,472.4700012207031,-0.3585237697217525,0.3585237697217525
1994-01-14,474.9100036621094,0.5164354213182065,0.5164354213182065
1994-01-17,473.2999877929688,-0.33901494108894425,0.33901494108894425
1994-01-18,474.25,0.2007209447566716,0.2007209447566716
1994-01-19,474.2999877929688,0.01054038860701656,0.01054038860701656
1994-01-20,474.9800109863281,0.14337406933608854,0.14337406933608854
1994-01-21,474.7200012207031,-0.054741201652896976,0.054741201652896976
1994-01-24,471.9700012207031,-0.5792888424605236,0.5792888424605236
1994-01-25,470.9200134277344,-0.2224691802981238,0.2224691802981238
1994-01-26,473.20001220703125,0.4841583951170847,0.4841583951170847
1994-01-27,477.0499877929688,0.8136042871133897,0.8136042871133897
1994-01-28,478.70001220703125,0.3458808209379161,0.3458808209379161
1994-01-31,481.6099853515625,0.6078907604607942,0.6078907604607942
1994-02-01,479.6199951171875,-0.4131953852498205,0.4131953852498205
1994-02-02,482.0,0.4962272021688641,0.4962272021688641
1994-02-03,480.7099914550781,-0.26763662757715023,0.26763662757715023
1994-02-04,469.80999755859375,-2.267478124074518,2.267478124074518
1994-02-07,471.760009765625,0.4150640082511313,0.4150640082511313
1994-02-08,471.0499877929688,-0.15050490884316314,0.15050490884316314
1994-02-09,472.7699890136719,0.3651419733098571,0.3651419733098571
1994-02-10,468.92999267578125,-0.8122335230926758,0.8122335230926758
1994-02-11,470.17999267578125,0.26656431013665216,0.26656431013665216
1994-02-14,470.2300109863281,0.010638119725636663,0.010638119725636663
1994-02-15,472.5199890136719,0.4869910413715317,0.4869910413715317
1994-02-16,472.7900085449219,0.05714457325152189,0.05714457325152189
1994-02-17,470.3399963378906,-0.518203042101395,0.518203042101395
1994-02-18,467.6900024414063,-0.5634209119184996,0.5634209119184996
1994-02-21,467.6900024414063,0.0,0.0
1994-02-22,471.4599914550781,0.8060871504611988,0.8060871504611988
1994-02-23,470.6900024414063,-0.16332011785251674,0.16332011785251674
1994-02-24,464.260009765625,-1.3660780221440347,1.3660780221440347
1994-02-25,466.0700073242188,0.38986721245009015,0.38986721245009015
1994-02-28,467.1400146484375,0.22958081562935995,0.22958081562935995
1994-03-01,464.4400024414063,-0.5779877814713119,0.5779877814713119
1994-03-02,464.80999755859375,0.07966478237071417,0.07966478237071417
1994-03-03,463.010009765625,-0.3872523832153307,0.3872523832153307
1994-03-04,464.739990234375,0.3736378117668915,0.3736378117668915
1994-03-07,466.9100036621094,0.4669306436573262,0.4669306436573262
1994-03-08,465.8800048828125,-0.2205989957846932,0.2205989957846932
1994-03-09,467.05999755859375,0.2532825327152821,0.2532825327152821
1994-03-10,463.8999938964844,-0.6765733907051041,0.6765733907051041
1994-03-11,466.4400024414063,0.5475336448244716,0.5475336448244716
1994-03-14,467.3900146484375,0.20367297016952168,0.20367297016952168
1994-03-15,467.010009765625,-0.08130359462179547,0.08130359462179547
1994-03-16,469.4200134277344,0.5160496802453673,0.5160496802453673
1994-03-17,470.8999938964844,0.315278519537987,0.315278519537987
1994-03-18,471.05999755859375,0.03397826803637205,0.03397826803637205
1994-03-21,468.5400085449219,-0.5349613694078159,0.5349613694078159
1994-03-22,468.7999877929688,0.055487096791218,0.055487096791218
1994-03-23,468.5400085449219,-0.055456325686098484,0.055456325686098484
1994-03-24,464.3500061035156,-0.8942678031740647,0.8942678031740647
1994-03-25,460.5799865722656,-0.8118917802726555,0.8118917802726555
1994-03-28,460.0,-0.12592526578977248,0.12592526578977248
1994-03-29,452.4800109863281,-1.6347802203634518,1.6347802203634518
1994-03-30,445.5499877929688,-1.5315644945846585,1.5315644945846585
1994-03-31,445.7699890136719,0.049377449608489776,0.049377449608489776
1994-04-01,445.7699890136719,0.0,0.0
1994-04-04,438.9200134277344,-1.5366614520403332,1.5366614520403332
1994-04-05,448.2900085449219,2.1347842045325693,2.1347842045325693
1994-04-06,448.0499877929688,-0.05354140118629669,0.05354140118629669
1994-04-07,450.8800048828125,0.6316297660857062,0.6316297660857062
1994-04-08,447.1000061035156,-0.8383602595726791,0.8383602595726791
1994-04-11,449.8699951171875,0.6195457338084909,0.6195457338084909
1994-04-12,447.5700073242188,-0.5112561001917038,0.5112561001917038
1994-04-13,446.260009765625,-0.2926910957294804,0.2926910957294804
1994-04-14,446.3800048828125,0.026889058970458457,0.026889058970458457
1994-04-15,446.17999267578125,-0.04480760895276825,0.04480760895276825
1994-04-18,442.4599914550781,-0.8337445160626622,0.8337445160626622
1994-04-19,442.5400085449219,0.01808459327150569,0.01808459327150569
1994-04-20,441.9599914550781,-0.1310654581832882,0.1310654581832882
1994-04-21,448.7300109863281,1.5318172825917742,1.5318172825917742
1994-04-22,447.6300048828125,-0.2451376276567219,0.2451376276567219
1994-04-25,452.7099914550781,1.134862836908246,1.134862836908246
1994-04-26,451.8699951171875,-0.1855484424345799,0.1855484424345799
1994-04-27,451.8699951171875,0.0,0.0
1994-04-28,449.1000061035156,-0.6130057413866408,0.6130057413866408
1994-04-29,450.9100036621094,0.40302772968043854,0.40302772968043854
1994-05-02,453.0199890136719,0.4679393525151454,0.4679393525151454
1994-05-03,453.0299987792969,0.0022095637869812283,0.0022095637869812283
1994-05-04,451.7200012207031,-0.28916353489252256,0.28916353489252256
